"player_name","player_height","player_weight","gp_career","gp_by_season","pts_career_avg","reb_career_avg","ast_career_avg","net_rating_career","oreb_pct_career","dreb_pct_career","usg_pct_career","ts_pct_career","ast_pct_career","num_seasons","hall_of_fame","indiv_awards","playoffs_career","nba_titles","mvp_finals","finalist_career"
"Trajan Langdon",190.5,89.0552293333333,119,39.6666666666667,5.23333333333333,1.4,1.23333333333333,5.43333333333333,0.0246666666666667,0.0866666666666667,0.175333333333333,0.546666666666667,0.148,3,0,0,0,0,0,0
"Travis Best",180.34,82.8561386666667,649,72.1111111111111,7.8,1.82222222222222,3.55555555555556,0.777777777777778,0.0181111111111111,0.0784444444444444,0.185777777777778,0.506777777777778,0.275,10,0,0,6,0,0,1
"Travis Diener",185.42,79.3786,179,35.8,3.78,1.04,1.78,-8.5,0.012,0.0812,0.1406,0.4968,0.2164,5,0,0,1,0,0,0
"Travis Hansen",198.12,92.98636,41,41,3,1.7,0.5,-0.9,0.068,0.09,0.139,0.433,0.059,1,0,0,0,0,0,0
"Travis Knight",213.36,106.59412,371,53,3.1,2.87142857142857,0.542857142857143,-1.3,0.101428571428571,0.180714285714286,0.149285714285714,0.437428571428571,0.0701428571428571,7,0,0,5,0,0,0
"Travis Leslie",193.04,92.98636,10,10,1.4,0.9,0.5,-29.3,0.128,0.073,0.194,0.39,0.227,1,0,0,0,0,0,0
"Travis Outlaw",205.509090909091,95.3367912727273,622,56.5454545454545,7.38181818181818,2.79090909090909,0.736363636363636,-10,0.0506363636363636,0.130363636363636,0.205818181818182,0.491909090909091,0.0761818181818182,11,0,0,1,0,0,0
"Travis Wear",208.28,102.0582,68,34,4.15,2.15,0.6,-1.7,0.027,0.148,0.1655,0.474,0.0745,2,0,0,0,0,0,0
"Travis Williams",199.39,105.46014,47,23.5,2.7,2.4,0.4,-13.45,0.1285,0.1755,0.1765,0.498,0.0825,2,0,0,2,0,0,0
"Tremaine Fowlkes",201.93,98.883056,103,25.75,2.85,2.05,0.45,-2.55,0.087,0.1285,0.1585,0.4835,0.06125,4,0,0,2,0,0,0
"Trenton Hassell",195.58,97.068688,644,71.5555555555556,5.62222222222222,2.81111111111111,1.68888888888889,-5.88888888888889,0.0396666666666667,0.0926666666666667,0.121888888888889,0.483666666666667,0.103444444444444,9,0,0,3,0,0,0
"Trevor Booker",203.2,105.970431,532,66.5,6.9,5.5125,1.0375,-3.7125,0.10575,0.19125,0.157,0.547875,0.081875,8,0,0,1,0,0,0
"Trevor Winter",213.36,124.7378,1,1,0,3,0,-21.3,0.1,0.5,0,0,0,1,0,0,1,0,0,0
"Trey Gilder",205.74,92.98636,2,2,1,0.5,0,22.4,0,0.167,0.087,1,0,1,0,0,0,0,0,0
"Trey Johnson",195.58,98.429464,23,7.66666666666667,2.4,0.766666666666667,0.6,-16.0333333333333,0.028,0.112666666666667,0.206,0.466333333333333,0.103666666666667,3,0,0,3,1,0,0
"Trey McKinney-Jones",195.58,99.79024,1,1,0,0,0,-33.3,0,0,0,0,0,1,0,0,1,0,0,0
"Trey Thompkins",208.28,111.13004,24,24,2.4,1,0.1,-28.3,0.038,0.206,0.261,0.445,0.05,1,0,0,0,0,0,0
"Troy Bell",185.42,81.64656,6,6,1.8,0.7,0.7,8,0.097,0.03,0.293,0.285,0.182,1,0,0,0,0,0,0
"Troy Hudson",185.42,78.4301803636364,517,47,7.5,1.48181818181818,2.82727272727273,-4.65454545454545,0.0214545454545455,0.0712727272727273,0.222545454545455,0.477272727272727,0.260727272727273,11,0,0,6,0,0,1
"Troy Murphy",210.82,111.13004,729,60.75,9.94166666666667,7.19166666666667,1.36666666666667,-4.68333333333333,0.0690833333333333,0.231583333333333,0.173833333333333,0.525916666666667,0.08325,12,0,0,4,0,0,1
"Ty Lawson",180.34,88.45044,551,68.875,12.6875,2.7375,6.0125,0.325,0.025625,0.079625,0.195875,0.5535,0.303875,8,0,0,5,0,0,0
"Tyler Ennis",190.5,85.842286,186,46.5,4.15,1.325,1.95,-3.8,0.021,0.0905,0.18475,0.47875,0.237,4,0,0,1,0,0,0
"Tyler Hansbrough",205.74,113.398,428,61.1428571428571,6.67142857142857,4.15714285714286,0.471428571428571,-0.271428571428571,0.117142857142857,0.174714285714286,0.184571428571429,0.528,0.0468571428571429,7,0,0,3,0,0,0
"Tyler Honeycutt",203.2,85.275296,24,12,1.1,1,0.35,-11.85,0.0595,0.189,0.176,0.3595,0.1085,2,0,0,0,0,0,0
"Tyrone Corbin",198.12,100.697424,265,53,6.52,3.18,1.26,0.54,0.0372,0.1188,0.1554,0.432,0.085,16,0,0,5,0,0,0
"Tyrone Hill",205.74,113.114505,400,50,8.5625,8.1875,0.825,-3.125,0.120875,0.2165,0.151875,0.53475,0.044,14,0,0,4,0,0,0
